Activity Date,Process Date,Settle Date,Instrument,Description,Trans Code,Quantity,Price,Amount
6/9/2023,6/9/2023,6/9/2023,,Transfer from Brokerage to Spending,XENT,,,-$50.00
6/9/2023,6/9/2023,6/12/2023,NVDA,NVDA 6/16/2023 Put $380.00,STO,1,$3.47,$346.98
6/9/2023,6/9/2023,6/12/2023,NVDA,NVDA 6/16/2023 Put $375.00,BTO,1,$2.40,-$240.00
6/9/2023,6/9/2023,6/12/2023,NVDA,NVDA 6/9/2023 Put $375.00,BTC,1,$0.03,-$3.00
6/9/2023,6/9/2023,6/12/2023,NVDA,NVDA 6/9/2023 Put $370.00,STC,1,$0.01,$0.98
6/8/2023,6/8/2023,6/9/2023,PLTR,PLTR 6/30/2023 Call $14.00,BTC,1,$1.84,-$184.00
6/7/2023,6/7/2023,6/8/2023,MSFT,MSFT 6/9/2023 Put $317.50,STC,1,$0.25,$24.98
6/7/2023,6/7/2023,6/8/2023,MSFT,MSFT 6/9/2023 Put $322.50,BTC,1,$0.76,-$76.00
6/6/2023,6/6/2023,6/6/2023,JEPI,Cash Div: R/D 2023-06-02 P/D 2023-06-06 - 2 shares at 0.36541,CDIV,,,$0.73
6/5/2023,6/5/2023,6/6/2023,PLTR,PLTR 1/17/2025 Call $12.00,BTO,1,$6.90,-$690.00
6/5/2023,6/5/2023,6/7/2023,AI,"C3.AI
CUSIP: 12468P104",Buy,5,$34.44,-$172.20
6/5/2023,6/5/2023,6/6/2023,SOFI,SOFI 1/19/2024 Call $6.00,BTO,1,$2.13,-$213.00
6/2/2023,6/2/2023,6/5/2023,TSLA,Option Expiration for TSLA 6/2/2023 Put $182.50,OEXP,1,,
6/2/2023,6/2/2023,6/5/2023,TSLA,Option Expiration for TSLA 6/2/2023 Put $180.00,OEXP,1S,,
6/2/2023,6/2/2023,6/2/2023,,Gold Fee,GOLD,,,-$5.00
6/2/2023,6/2/2023,6/2/2023,,Aggregated Margin Rate,MINT,,,-$10.19
6/1/2023,6/1/2023,6/5/2023,NVDA,"NVIDIA
CUSIP: 67066G104",Buy,1,$386.12,-$386.13
6/1/2023,6/1/2023,6/5/2023,AI,"C3.AI
CUSIP: 12468P104",Buy,4,$33.34,-$133.35
5/31/2023,5/31/2023,5/31/2023,DIVO,Cash Div: R/D 2023-05-30 P/D 2023-05-31 - 2 shares at 0.13928,CDIV,,,$0.28
5/31/2023,5/31/2023,5/31/2023,XYLD,Manufactured Div: R/D 2023-05-23 P/D 2023-05-31 - 1 shares at 0.284,MDIV,,,$0.28
5/31/2023,5/31/2023,5/31/2023,SVOL,Cash Div: R/D 2023-05-26 P/D 2023-05-31 - 1 shares at 0.32,CDIV,,,$0.32
5/31/2023,5/31/2023,6/1/2023,NVDA,NVDA 6/9/2023 Put $375.00,STO,1,$5.04,$503.98
5/31/2023,5/31/2023,6/1/2023,NVDA,NVDA 6/9/2023 Put $370.00,BTO,1,$3.79,-$379.00
5/30/2023,5/30/2023,6/1/2023,MASS,"908 Devices
CUSIP: 65443P102",Sell,10,$9.02,$90.23
5/30/2023,5/30/2023,6/1/2023,MRVL,"Marvell Technology
CUSIP: 573874104",Sell,5,$64.31,$321.55
5/30/2023,5/30/2023,6/1/2023,AI,"C3.AI
CUSIP: 12468P104",Buy,1,$39.62,-$39.63
5/30/2023,5/30/2023,6/1/2023,NVDA,"NVIDIA
CUSIP: 67066G104",Buy,1,$411.54,-$411.54
5/30/2023,5/30/2023,5/30/2023,,Transfer from Brokerage to Spending,XENT,,,-$50.00
5/26/2023,5/26/2023,5/30/2023,PLTR,PLTR 6/2/2023 Call $13.50,BTC,1,$0.91,-$91.00
5/26/2023,5/26/2023,5/30/2023,PLTR,PLTR 6/30/2023 Call $14.00,STO,1,$1.21,$120.98
5/26/2023,5/26/2023,5/30/2023,TSLA,TSLA 6/2/2023 Put $182.50,STO,1,$2.29,$228.98
