APY,APY_BASE,APY_REWARD,TVL,DATE
26.66449,0.17446,26.49003,31524335,2023-04-03T23:01:37.015Z
25.84313,0.1853,25.65783,35856260,2023-04-04T23:01:54.924Z
25.16081,0.22572,24.93508,36881925,2023-04-05T23:01:37.526Z
24.47637,0.29795,24.17842,38036988,2023-04-06T23:01:30.709Z
24.24205,0.58491,23.65714,39292698,2023-04-07T23:02:03.062Z
23.16831,0.16373,23.00457,40668397,2023-04-08T23:01:56.764Z
24.19782,0.68185,23.51597,39793108,2023-04-09T23:02:19.069Z
24.2342,0.47112,23.76307,39450209,2023-04-10T23:01:36.083Z
26.08288,1.12423,24.95865,41312113,2023-04-11T23:01:45.363Z
25.5265,0.57314,24.95336,41460590,2023-04-12T23:01:30.608Z
25.44996,0.23202,25.21794,42947160,2023-04-13T23:01:42.102Z
24.92876,0.12413,24.80464,44663885,2023-04-14T23:01:57.175Z
24.70044,0.33556,24.36488,45355803,2023-04-15T23:12:20.620Z
24.92681,0.30806,24.61875,45589467,2023-04-16T23:01:23.022Z
24.54173,0.27219,24.26955,44142672,2023-04-17T23:01:48.479Z
23.83213,0.07835,23.75378,45141312,2023-04-18T23:01:38.211Z
23.57335,0.1684,23.40495,41426103,2023-04-19T23:02:21.997Z
22.90773,0.43853,22.46919,42030985,2023-04-20T23:01:32.363Z
22.83993,0.54377,22.29616,41031471,2023-04-21T23:01:41.924Z
23.09684,0.88879,22.20805,42134640,2023-04-22T23:01:34.507Z
22.71989,0.34843,22.37146,42135827,2023-04-23T23:01:50.670Z
26.88438,0.52126,26.36313,41271085,2023-04-24T23:01:47.416Z
25.31877,0.20238,25.11639,43962921,2023-04-25T23:01:57.334Z
25.20983,0.10754,25.1023,42886437,2023-04-26T23:01:50.687Z
24.28261,0.12735,24.15527,45785261,2023-04-27T23:01:56.888Z
23.94131,0.09853,23.84278,45604674,2023-04-28T23:01:59.593Z
24.06318,0.1248,23.93838,45939292,2023-04-29T23:01:31.919Z
23.88361,0.25014,23.63348,45302550,2023-04-30T23:01:51.236Z
26.4923,0.51526,25.97704,44017920,2023-05-01T23:01:28.549Z
26.23938,0.18482,26.05456,45033033,2023-05-02T23:01:41.734Z
26.47038,0.22776,26.24262,48121296,2023-05-03T23:01:34.255Z
26.03029,0.13728,25.893,46163757,2023-05-04T23:01:54.585Z
26.22687,0.24116,25.98571,47922283,2023-05-05T23:01:51.833Z
25.51481,0.16939,25.34543,46256579,2023-05-06T23:01:27.985Z
25.15412,0.01949,25.13464,46325731,2023-05-07T23:01:51.426Z
28.02533,0.1929,27.83243,44027069,2023-05-08T23:01:55.903Z
28.31832,0.59098,27.72734,44124147,2023-05-09T23:01:44.314Z
27.36124,0.10352,27.25772,45202010,2023-05-10T23:01:26.851Z
27.28237,0.38242,26.89995,43385576,2023-05-11T23:01:58.518Z
27.06005,0.20584,26.8542,44373751,2023-05-12T23:01:55.064Z
26.44608,0.3913,26.05478,45383442,2023-05-13T23:01:59.823Z
26.39858,0.79368,25.60489,46215169,2023-05-14T23:01:47.663Z
25.10966,0.09064,25.01903,48793225,2023-05-15T23:01:31.345Z
26.22862,0.76183,25.46679,50296868,2023-05-16T23:01:46.281Z
25.94588,0.66995,25.27593,50786462,2023-05-17T23:01:56.739Z
25.07349,0.17856,24.89493,51522351,2023-05-18T23:01:39.671Z
24.09334,0.43569,23.65765,54048574,2023-05-19T23:02:11.839Z
24.2946,0.84763,23.44697,54613461,2023-05-20T23:01:58.367Z
23.0723,0.17278,22.89952,55961401,2023-05-21T23:01:35.757Z
23.3487,0.49119,22.85751,56893759,2023-05-22T23:01:56.055Z
24.56127,0.2502,24.31107,58295547,2023-05-23T23:02:43.277Z
24.06079,0.17059,23.8902,56785439,2023-05-24T23:02:11.585Z
23.95708,0.22115,23.73593,56896219,2023-05-25T23:02:03.449Z
23.43364,0.06869,23.36495,59692478,2023-05-26T23:01:51.612Z
23.71689,0.27618,23.44071,59079505,2023-05-27T23:01:26.408Z
24.06581,0.18585,23.87996,58999389,2023-05-28T23:01:38.859Z
24.29024,0.79789,23.49235,59140930,2023-05-29T23:02:49.001Z
24.32084,0.03627,24.28458,57562200,2023-05-30T23:02:47.442Z
24.42949,0.15775,24.27173,55959641,2023-05-31T16:01:41.456Z
